subj_idx,prob1,prob2,s,c,r,rt,conf
0,0.1,0.9,4,2,1,1.852,0
0,0.1,0.9,4,2,1,1.629,0.5
0,0.1,0.9,4,2,1,1.415,1
0,0.1,0.9,4,2,1,1.55,0.5
0,0.1,0.9,4,2,0,1.537,1
0,0.1,0.9,4,1,0,1.505,0.5
0,0.1,0.9,4,2,1,1.198,0.5
0,0.1,0.9,4,2,1,1.352,0.5
0,0.1,0.9,4,2,1,1.339,0.49
0,0.1,0.9,4,2,1,1.302,0.5
0,0.1,0.9,4,1,0,1.085,0
0,0.1,0.9,4,2,1,1.249,0.5
0,0.1,0.9,4,2,1,1.322,0.5
0,0.1,0.9,4,2,1,1.394,0.5
0,0.1,0.9,4,2,1,1.085,1
0,0.1,0.9,4,2,1,1.24,1
0,0.1,0.9,4,2,1,1.058,1
0,0.1,0.9,4,2,1,1.135,0.99
0,0.1,0.9,4,2,1,1.734,1
0,0.1,0.9,4,2,0,1.153,1
0,0.1,0.9,4,2,1,1.074,0.99
0,0.1,0.9,4,2,1,1.253,1
0,0.1,0.9,4,2,1,1.444,1
0,0.1,0.9,4,2,1,1.283,1
0,0.1,0.9,4,2,0,1.454,1
0,0.8,0.2,3,1,1,2.418,0.5
0,0.8,0.2,3,1,1,1.023,0.5
0,0.8,0.2,3,1,1,1.202,0.5
0,0.8,0.2,3,1,1,1.125,1
0,0.8,0.2,3,1,1,1.098,0.99
0,0.8,0.2,3,1,1,1.178,1
0,0.8,0.2,3,1,1,1.239,1
0,0.8,0.2,3,1,1,0.987,1
0,0.8,0.2,3,1,1,1.044,1
0,0.8,0.2,3,1,1,1.409,1
0,0.8,0.2,3,1,0,1.437,1
0,0.8,0.2,3,1,1,1.127,0
0,0.8,0.2,3,1,0,1.455,0.07
0,0.8,0.2,3,1,0,2.591,0
0,0.8,0.2,3,2,0,1.649,0
0,0.8,0.2,3,1,1,1.798,0
0,0.8,0.2,3,2,0,1.409,0
0,0.8,0.2,3,1,0,0.965,0
0,0.8,0.2,3,1,1,1.051,0
0,0.8,0.2,3,1,1,1.684,0
0,0.8,0.2,3,2,0,1.245,0
0,0.8,0.2,3,1,0,0.975,0
0,0.8,0.2,3,1,1,1.132,0
0,0.8,0.2,3,1,1,1.535,0
0,0.8,0.2,3,1,1,1.51,0
0,0.7,0.3,2,2,1,0.677,0
0,0.7,0.3,2,2,1,1.013,0
0,0.7,0.3,2,2,0,1.602,0
0,0.7,0.3,2,2,1,1.401,0
0,0.7,0.3,2,2,0,1.559,0
0,0.7,0.3,2,1,1,0.922,0
0,0.7,0.3,2,1,1,1.163,0
0,0.7,0.3,2,2,0,1.1,0
0,0.7,0.3,2,1,1,1.051,0
0,0.7,0.3,2,1,1,1.002,0
0,0.7,0.3,2,1,0,1.029,0
0,0.7,0.3,2,1,1,1.037,0
0,0.7,0.3,2,1,1,1.026,0
0,0.7,0.3,2,1,1,1.023,0
0,0.7,0.3,2,2,0,1.13,0
0,0.7,0.3,2,1,1,1.406,0.02
0,0.7,0.3,2,1,0,1.026,0
0,0.7,0.3,2,1,1,0.865,0
0,0.7,0.3,2,1,0,0.962,0.01
0,0.7,0.3,2,1,0,1.444,0
0,0.7,0.3,2,2,0,1.243,0
0,0.7,0.3,2,1,1,0.964,0
0,0.7,0.3,2,1,1,1.037,0
0,0.7,0.3,2,1,1,0.975,0
0,0.7,0.3,2,1,0,1.001,0
0,0.4,0.6,1,2,0,1.048,0
0,0.4,0.6,1,1,1,0.902,0.01
0,0.4,0.6,1,1,1,0.916,0
0,0.4,0.6,1,1,0,0.994,0.01
0,0.4,0.6,1,1,0,1.076,0
0,0.4,0.6,1,2,0,1.154,0.02
0,0.4,0.6,1,1,0,1.116,0
0,0.4,0.6,1,1,1,1.164,0
0,0.4,0.6,1,1,0,1.67,0
0,0.4,0.6,1,1,0,1.82,0
0,0.4,0.6,1,2,1,1.116,0
