subj_idx,go,s,c,r,rt
1,1,1,1,1,0.6282
1,1,1,1,1,1.3243
1,1,1,1,1,0.92268
1,1,1,1,0,1.8867
1,1,1,1,0,1.5253
1,1,1,0,0,NaN
1,1,1,1,1,0.44081
1,1,1,1,1,0.92285
1,1,1,0,0,NaN
1,1,1,1,1,1.5519
1,1,1,1,1,1.0834
1,1,1,1,1,0.81568
1,1,1,1,1,0.57454
1,1,1,0,0,NaN
1,1,1,1,1,0.81564
1,1,1,1,0,0.81563
1,1,1,1,1,1.5921
1,1,1,1,1,0.60143
1,1,1,1,0,0.72199
1,1,1,1,1,0.93602
1,1,1,1,1,1.5654
1,1,1,1,1,1.1504
1,1,1,1,1,0.70856
1,1,1,1,0,1.0836
1,1,1,1,1,0.94943
1,1,1,1,1,0.97633
1,1,1,1,0,0.53447
1,1,1,1,1,0.7888
1,1,1,1,1,1.6056
1,1,1,1,1,1.7128
1,1,1,1,1,0.58808
1,1,1,1,0,0.60134
1,1,1,1,1,0.69596
1,1,1,1,1,0.52119
1,1,1,1,1,0.84233
1,1,1,1,0,0.7086
1,1,1,1,1,0.48094
1,1,1,1,1,1.2842
1,1,1,1,1,0.89601
1,1,1,1,1,0.9094
1,1,1,1,1,0.4542
1,1,1,1,1,0.68195
1,1,1,1,1,0.96298
1,1,1,1,0,0.8826
1,1,1,1,0,0.80228
1,1,1,1,1,0.78895
1,1,1,1,1,0.60141
1,1,1,1,1,0.84252
1,1,1,1,1,0.66844
1,1,1,1,1,0.44079
1,1,1,1,1,1.1638
1,1,1,1,1,0.61468
1,1,1,1,1,0.68151
1,1,1,1,1,0.94954
1,1,1,1,0,1.3512
1,1,1,1,1,0.5211
1,1,1,1,1,0.57477
1,1,1,1,1,0.69523
1,1,1,1,1,0.37392
1,1,1,1,0,0.36069
1,0,2,1,0,1.2977
1,0,2,0,1,NaN
1,0,2,1,0,1.9001
1,0,2,1,1,0.98967
1,0,2,1,0,0.9897
1,0,2,1,0,1.137
1,0,2,1,0,0.98944
1,0,2,0,1,NaN
1,0,2,1,0,1.4047
1,0,2,0,0,NaN
1,0,2,1,0,1.3779
1,0,2,0,1,NaN
1,0,2,1,0,1.1369
1,0,2,0,0,NaN
1,0,2,1,0,1.1771
1,0,2,1,0,0.82908
1,0,2,1,0,0.66837
1,0,2,1,0,0.65507
1,0,2,1,1,0.70862
1,0,2,1,0,0.9897
1,0,2,0,1,NaN
1,0,2,0,1,NaN
1,0,2,0,1,NaN
1,0,2,1,0,0.82909
1,0,2,1,0,1.9537
1,0,2,1,1,0.93612
1,0,2,1,1,1.1637
1,0,2,0,1,NaN
1,0,2,0,1,NaN
1,0,2,1,0,0.81559
1,0,2,1,0,0.70855
1,0,2,1,1,0.82909
1,0,2,1,0,0.54788
1,0,2,1,0,0.65502
1,0,2,1,0,0.49434
1,0,2,1,0,0.7354
1,0,2,1,1,1.311
1,0,2,1,0,1.4583
1,0,2,1,0,0.61489
1,0,2,1,0,1.1101
1,0,2,0,1,NaN
1,0,2,1,0,1.0969
1,0,2,1,1,0.49437
1,0,2,1,0,0.82906
1,0,2,1,0,0.6952
1,0,2,1,0,0.78883
1,0,2,1,0,0.74877
1,0,2,1,0,0.69524
1,0,2,1,1,1.3245
1,0,2,1,0,0.56122
1,0,2,1,0,1.2308
1,0,2,1,0,0.70856
1,0,2,1,1,1.0032
1,0,2,1,0,1.0163
1,0,2,1,0,0.86926
1,0,2,1,0,0.56127
1,0,2,1,0,0.42742
1,0,2,1,0,0.33364
1,0,2,1,0,0.61479
1,0,2,0,0,NaN
2,1,1,1,1,0.96238
2,1,1,1,1,0.57471
2,1,1,1,1,0.52126
2,1,1,1,0,0.92276
2,1,1,1,0,0.52117
2,1,1,1,1,0.82908
2,1,1,1,1,0.66882
2,1,1,1,1,0.61479
2,1,1,1,1,0.92284
2,1,1,1,1,0.69517
2,1,1,1,1,0.66837
2,1,1,1,1,0.97664
2,1,1,1,1,0.6417
2,1,1,1,1,0.90962
2,1,1,1,1,0.64165
2,1,1,1,0,0.53441
2,1,1,0,0,NaN
2,1,1,1,1,0.42746
2,1,1,1,1,0.56127
2,1,1,1,0,1.2709
2,1,1,1,1,0.76213
2,1,1,1,1,0.64166
2,1,1,1,1,0.92276
2,1,1,1,0,0.80226
2,1,1,1,1,0.38723
2,1,1,1,1,0.41406
2,1,1,1,1,1.2039
2,1,1,1,0,0.36052
2,1,1,1,1,0.53454
2,1,1,1,1,0.49435
2,1,1,1,1,0.56131
2,1,1,1,0,0.963
2,1,1,1,1,0.44085
2,1,1,1,1,0.48095
2,1,1,1,1,0.86926
2,1,1,1,0,0.41403
2,1,1,1,1,0.32077
2,1,1,1,1,1.0968
2,1,1,1,1,0.32044
2,1,1,1,1,0.33366
2,1,1,1,1,0.60149
2,1,1,1,1,0.93622
2,1,1,1,1,0.88268
2,1,1,1,0,1.1103
2,1,1,1,1,0.66838
2,1,1,1,0,0.66847
2,1,1,1,1,0.3739
2,1,1,1,1,0.57471
2,1,1,1,1,1.2308
2,1,1,1,1,1.2441
2,1,1,1,1,1.2575
2,1,1,1,1,1.2307
2,1,1,1,1,0.89603
2,1,1,1,1,0.73536
2,1,1,1,1,1.0165
2,1,1,1,0,0.29359
2,1,1,1,1,0.29353
2,1,1,1,1,0.37438
2,1,1,1,1,0.30699
2,1,1,1,0,0.24011
2,0,2,0,1,NaN
2,0,2,0,1,NaN
2,0,2,1,1,1.3511
2,0,2,1,0,0.64165
2,0,2,0,1,NaN
2,0,2,0,1,NaN
2,0,2,0,1,NaN
2,0,2,0,1,NaN
2,0,2,0,0,NaN
2,0,2,0,1,NaN
2,0,2,0,1,NaN
2,0,2,0,1,NaN
2,0,2,0,0,NaN
2,0,2,0,1,NaN
2,0,2,0,1,NaN
2,0,2,0,1,NaN
2,0,2,0,1,NaN
2,0,2,0,1,NaN
2,0,2,0,0,NaN
2,0,2,0,1,NaN
2,0,2,0,1,NaN
2,0,2,0,1,NaN
2,0,2,0,1,NaN
2,0,2,0,1,NaN
2,0,2,0,0,NaN
2,0,2,0,1,NaN
2,0,2,0,1,NaN
2,0,2,0,0,NaN
2,0,2,0,1,NaN
2,0,2,0,1,NaN
2,0,2,0,1,NaN
2,0,2,0,0,NaN
2,0,2,0,1,NaN
